TOOLS CLEANUP REVIEW REPORT
================================================================================

KEEP (172 files)
--------------------------------------------------------------------------------
CHARACTER-IMPORT-ANALYSIS.md                       | Does not match archive patterns
IMPORT-COMPATIBILITY-REPORT.md                     | Does not match archive patterns
README.md                                          | Does not match archive patterns
SHAPESHIFTER-DESIGN.md                             | Does not match archive patterns
XAI-PARSER-README.md                               | Does not match archive patterns
add-get-combat-pool-tool.py                        | Explicitly listed as essential
add-platinum-custom-cyberware.py                   | Explicitly listed as essential
add-platinum-house-rules.py                        | Explicitly listed as essential
analyze-gm-patterns.py                             | Does not match archive patterns
apply-pool-migration.py                            | Explicitly listed as essential
archive-old-schemas.bat                            | Does not match archive patterns
audit_all_tools.py                                 | Does not match archive patterns
calculate-body-index.py                            | Does not match archive patterns
calculate-platinum-shot.py                         | Does not match archive patterns
check-conversation-history.py                      | Explicitly listed as essential
check-house-rules-schema.py                        | Explicitly listed as essential
check-kent-pools.py                                | Explicitly listed as essential
check-modifier-schema.py                           | Explicitly listed as essential
check-platinum-combat-pool.py                      | Explicitly listed as essential
check-recent-chat.py                               | Explicitly listed as essential
check_characters.py                                | Does not match archive patterns
check_columns.py                                   | Does not match archive patterns
check_db_config.py                                 | Does not match archive patterns
check_modifiers.py                                 | Does not match archive patterns
check_schema.py                                    | Does not match archive patterns
check_schemas.py                                   | Does not match archive patterns
clean-and-reload-characters.py                     | Does not match archive patterns
clean-duplicate-smartlinks.py                      | Does not match archive patterns
clean-gear-sections.py                             | Does not match archive patterns
combine-sql-chunks.js                              | Does not match archive patterns
comprehensive-fix.js                               | Does not match archive patterns
count-xai-folders.js                               | Does not match archive patterns
create-optimized-data-files.js                     | Matches pattern: create-*
create-test-shaman.py                              | Matches pattern: create-*
create-user-functions.py                           | Matches pattern: create-*
enable-fuzzy-matching.py                           | Does not match archive patterns
enable-fuzzy-matching.sql                          | Does not match archive patterns
enhance-character-modifiers.py                     | Does not match archive patterns
enhance-debug-telemetry.py                         | Does not match archive patterns
enrich-character-data.py                           | Does not match archive patterns
enrich-from-database.py                            | Does not match archive patterns
ensure-system-user.py                              | Does not match archive patterns
expand-mcp-operations.py                           | Does not match archive patterns
extract-mcp-client.py                              | Does not match archive patterns
extract-tool-definitions.py                        | Does not match archive patterns
extract-websocket-handler.py                       | Does not match archive patterns
extract_reference_data.py                          | Does not match archive patterns
final-proper-fix.js                                | Does not match archive patterns
final-type-fix.py                                  | Does not match archive patterns
find-bad-arrays.js                                 | Matches pattern: find-*
find-bioware.py                                    | Matches pattern: find-*
find-effects-code.py                               | Matches pattern: find-*
find-query-tables.py                               | Matches pattern: find-*
find-skill-updates.py                              | Matches pattern: find-*
fix-kent-combat-pool.py                            | Explicitly listed as essential
fix-platinum-pool.py                               | Explicitly listed as essential
gear_load_report.txt                               | Does not match archive patterns
gear_loader.py                                     | Does not match archive patterns
generate-character-tests.py                        | Does not match archive patterns
generate-phases-4-5-6-defs.py                      | Does not match archive patterns
generate-remaining-tool-defs.py                    | Does not match archive patterns
