book-pag,Name,B.I.,Cost,Index,MODIFIERS,description
ST-???,"Adrenal Pump 1",1.25,60000,3.00,"+1QCK,+1STR,+1WIL,+2RCT","The adrenal pump is a small, muscular sac implanted in the lower abdominal cavity and connected to each of the two suprarenal (or adrenal) glands. When dormant, the pump concentrates and serves as a reservoir for the hormones adrenaline and noradrenaline. When activated, the sac contracts, sending a surge of concentrates into the bloodstream. Stress and other emotional states such as anger, fear, or lust will also activate the pump.\n\nAs the effects produced by hormones depend both on the amount secreted and the responsiveness of the organ or tissue in question, the actual combat effectiveness of the adrenal pump is variable. Once active, roll 1D6 for each level of the adrenal pump; the die result indicates the number of turns the hormones is up in the blood, and, therefore, the number of turns the bonuses will apply. Each level of the pump adds +1 to Quickness, +1 to Strength, +1 to Willpower, and +2 to Reaction for as long as the concentrates remain in the bloodstream. (Quickness raised in this manner does not also affect Reaction.) When that time has expired, however, the subject takes Deadly stun damage with a Power Level equal to one-half the number of turns the hormones remained in the blood (round down) and a Staging of 2 because of system shock and fatigue. For example, after four rounds of hormone-activation, the attack would be 2D2 Stun. The character may roll Body dice to resist the damage.\n\nOnce the adrenal pump has discharged its load, it takes approximately 10 to 15 minutes (9+1 D6) for the pump to regenerate its supply. If the pump activates before the sac has been refilled, halve the regular number of turns active (but not the fatigue aftereffects). The pump cannot discharge more than once during the same encounter. Studies have shown that high levels of adrenaline and noradrenaline in the bloodstream contribute to high blood pressure; speculation based on available data also points toward higher incidences of cardiac-related problems stemming from long-term use. When the pump is working, subjects are also more prone to critical heart failure through sheer overexertion. If a character whose adrenal pump is activated completely fails a Body Success Test (rolling all ones), he suffers immediate cardiac arrest (heart attack/Deadly physical and mental damage).\n\nAlthough normally triggered involuntarily, the adrenal pump can also be triggered on demand through the use of adrenocorticotropic hormone (ACTH/corticotrophin); inhalers with six doses can be acquired from various sources (see Compounds, p. 89, for more details).\n\nThe Reaction increase does not affect the skills involved in rigging or decking. To activate or resist the activation of the pump, the character makes a Willpower (6) Test. A light wound of any kind automatically activates the pump, assuming the character is aware of the damage."
ST-???,"Adrenal Pump 2",2.5,100000,3.00,"+2QCK,+2STR,+2WIL,+4RCT","The adrenal pump is a small, muscular sac implanted in the lower abdominal cavity and connected to each of the two suprarenal (or adrenal) glands. When dormant, the pump concentrates and serves as a reservoir for the hormones adrenaline and noradrenaline. When activated, the sac contracts, sending a surge of concentrates into the bloodstream. Stress and other emotional states such as anger, fear, or lust will also activate the pump.\n\nAs the effects produced by hormones depend both on the amount secreted and the responsiveness of the organ or tissue in question, the actual combat effectiveness of the adrenal pump is variable. Once active, roll 1D6 for each level of the adrenal pump; the die result indicates the number of turns the hormones is up in the blood, and, therefore, the number of turns the bonuses will apply. Each level of the pump adds +1 to Quickness, +1 to Strength, +1 to Willpower, and +2 to Reaction for as long as the concentrates remain in the bloodstream. (Quickness raised in this manner does not also affect Reaction.) When that time has expired, however, the subject takes Deadly stun damage with a Power Level equal to one-half the number of turns the hormones remained in the blood (round down) and a Staging of 2 because of system shock and fatigue. For example, after four rounds of hormone-activation, the attack would be 2D2 Stun. The character may roll Body dice to resist the damage.\n\nOnce the adrenal pump has discharged its load, it takes approximately 10 to 15 minutes (9+1 D6) for the pump to regenerate its supply. If the pump activates before the sac has been refilled, halve the regular number of turns active (but not the fatigue aftereffects). The pump cannot discharge more than once during the same encounter. Studies have shown that high levels of adrenaline and noradrenaline in the bloodstream contribute to high blood pressure; speculation based on available data also points toward higher incidences of cardiac-related problems stemming from long-term use. When the pump is working, subjects are also more prone to critical heart failure through sheer overexertion. If a character whose adrenal pump is activated completely fails a Body Success Test (rolling all ones), he suffers immediate cardiac arrest (heart attack/Deadly physical and mental damage).\n\nAlthough normally triggered involuntarily, the adrenal pump can also be triggered on demand through the use of adrenocorticotropic hormone (ACTH/corticotrophin); inhalers with six doses can be acquired from various sources (see Compounds, p. 89, for more details).\n\nThe Reaction increase does not affect the skills involved in rigging or decking. To activate or resist the activation of the pump, the character makes a Willpower (6) Test. A light wound of any kind automatically activates the pump, assuming the character is aware of the damage."
ST-???,"Cerebral Booster 1",0.4,50000,2.00,"+1INT","Boosting the brain via a cerebral booster involves the introduction of additional nervous tissue, along with convolutions and gyri (ridges and furrows), into the frontal lobes of the cerebrum. The extra cells and increased surface area improve the efficiency of cognitive and other higher-level functions because the brain areas augmented are those responsible for these functions. Subjects with a Level 1 booster gain +1 to their Intelligence Attribute; a Level 2 booster adds +2 to the recipient's Intelligence. The Intelligence bonus from a Level 1 booster is not cumulative with that given by a level 2 booster, however. The more advanced booster-2 has the additional advantage of a Task Pool. The levels of a Task Pool can temporarily add dice to a success test. (If a subject has a Task Pool of 1, for example, he may temporarily raise a skill level by +1 for a single test.) The Task Pool refreshes along with the other pools. Technical, Knowledge, and B/R skills are the only skills that can be modified by the Task Pool. The ability to process data on a higher level inherently decreases Reaction time; Intelligence raised in this manner can also increase the Reaction attribute."
ST-???,"Cerebral Booster 2",0.8,110000,2.00,"+2INT,+1TASKPOOL","Boosting the brain via a cerebral booster involves the introduction of additional nervous tissue, along with convolutions and gyri (ridges and furrows), into the frontal lobes of the cerebrum. The extra cells and increased surface area improve the efficiency of cognitive and other higher-level functions because the brain areas augmented are those responsible for these functions. Subjects with a Level 1 booster gain +1 to their Intelligence Attribute; a Level 2 booster adds +2 to the recipient's Intelligence. The Intelligence bonus from a Level 1 booster is not cumulative with that given by a level 2 booster, however. The more advanced booster-2 has the additional advantage of a Task Pool. The levels of a Task Pool can temporarily add dice to a success test. (If a subject has a Task Pool of 1, for example, he may temporarily raise a skill level by +1 for a single test.) The Task Pool refreshes along with the other pools. Technical, Knowledge, and B/R skills are the only skills that can be modified by the Task Pool. The ability to process data on a higher level inherently decreases Reaction time; Intelligence raised in this manner can also increase the Reaction attribute."
ST-???,"Damage Comp. 1",0.2,25000,2.50,"","The implanted ribbons of transmissive nerve fiber that form the compensator bypass the safety inhibitors that would normally prevent individuals from functioning while injured. Damage compensators allow their host bodies to act while suffering from physical and/or mental trauma. Compensators do not block the actual damage, only the neurological and physiological effects of shock and fatigue on the body. As long as physical or mental damage remain equal to or below the compensator's level, the character will not suffer any of the penalties to target numbers or Initiative that usually accompany damage. For example, a character with a level 3 damage compensator would take no Initiative or target number penalties from damage if both his Physical and Mental Condition Monitor will suffer the full effects of the damage; the nervous system would have the bypass. Physical and mental damage effects are treated separately for the purposes of calculating compensator action. If physical damage exceeds the compensator's level but mental damage remains below the compensator's level, the compensator will continue to block the effects of mental damage, but the character will begin to take the regular Initiative and target number penalties from sustaining physical damage.\n\nThe gamemaster may wish to track the damage taken by a player character with a damage compensator, letting the player know that a hit has occurred, but not the severity. A Perception (6) or Biotech (2) Test could reveal the Damage Level of the hit (Light, Moderate, or Serious.)"
ST-???,"Damage Comp. 2",0.4,50000,2.50,"","The implanted ribbons of transmissive nerve fiber that form the compensator bypass the safety inhibitors that would normally prevent individuals from functioning while injured. Damage compensators allow their host bodies to act while suffering from physical and/or mental trauma. Compensators do not block the actual damage, only the neurological and physiological effects of shock and fatigue on the body. As long as physical or mental damage remain equal to or below the compensator's level, the character will not suffer any of the penalties to target numbers or Initiative that usually accompany damage. For example, a character with a level 3 damage compensator would take no Initiative or target number penalties from damage if both his Physical and Mental Condition Monitor will suffer the full effects of the damage; the nervous system would have the bypass. Physical and mental damage effects are treated separately for the purposes of calculating compensator action. If physical damage exceeds the compensator's level but mental damage remains below the compensator's level, the compensator will continue to block the effects of mental damage, but the character will begin to take the regular Initiative and target number penalties from sustaining physical damage.\n\nThe gamemaster may wish to track the damage taken by a player character with a damage compensator, letting the player know that a hit has occurred, but not the severity. A Perception (6) or Biotech (2) Test could reveal the Damage Level of the hit (Light, Moderate, or Serious.)"
ST-???,"Damage Comp. 3",0.6,150000,2.00,"","The implanted ribbons of transmissive nerve fiber that form the compensator bypass the safety inhibitors that would normally prevent individuals from functioning while injured. Damage compensators allow their host bodies to act while suffering from physical and/or mental trauma. Compensators do not block the actual damage, only the neurological and physiological effects of shock and fatigue on the body. As long as physical or mental damage remain equal to or below the compensator's level, the character will not suffer any of the penalties to target numbers or Initiative that usually accompany damage. For example, a character with a level 3 damage compensator would take no Initiative or target number penalties from damage if both his Physical and Mental Condition Monitor will suffer the full effects of the damage; the nervous system would have the bypass. Physical and mental damage effects are treated separately for the purposes of calculating compensator action. If physical damage exceeds the compensator's level but mental damage remains below the compensator's level, the compensator will continue to block the effects of mental damage, but the character will begin to take the regular Initiative and target number penalties from sustaining physical damage.\n\nThe gamemaster may wish to track the damage taken by a player character with a damage compensator, letting the player know that a hit has occurred, but not the severity. A Perception (6) or Biotech (2) Test could reveal the Damage Level of the hit (Light, Moderate, or Serious.)"
ST-???,"Damage Comp. 4",0.8,200000,2.00,"","The implanted ribbons of transmissive nerve fiber that form the compensator bypass the safety inhibitors that would normally prevent individuals from functioning while injured. Damage compensators allow their host bodies to act while suffering from physical and/or mental trauma. Compensators do not block the actual damage, only the neurological and physiological effects of shock and fatigue on the body. As long as physical or mental damage remain equal to or below the compensator's level, the character will not suffer any of the penalties to target numbers or Initiative that usually accompany damage. For example, a character with a level 3 damage compensator would take no Initiative or target number penalties from damage if both his Physical and Mental Condition Monitor will suffer the full effects of the damage; the nervous system would have the bypass. Physical and mental damage effects are treated separately for the purposes of calculating compensator action. If physical damage exceeds the compensator's level but mental damage remains below the compensator's level, the compensator will continue to block the effects of mental damage, but the character will begin to take the regular Initiative and target number penalties from sustaining physical damage.\n\nThe gamemaster may wish to track the damage taken by a player character with a damage compensator, letting the player know that a hit has occurred, but not the severity. A Perception (6) or Biotech (2) Test could reveal the Damage Level of the hit (Light, Moderate, or Serious.)"
ST-???,"Damage Comp. 5",1.0,250000,2.00,"","The implanted ribbons of transmissive nerve fiber that form the compensator bypass the safety inhibitors that would normally prevent individuals from functioning while injured. Damage compensators allow their host bodies to act while suffering from physical and/or mental trauma. Compensators do not block the actual damage, only the neurological and physiological effects of shock and fatigue on the body. As long as physical or mental damage remain equal to or below the compensator's level, the character will not suffer any of the penalties to target numbers or Initiative that usually accompany damage. For example, a character with a level 3 damage compensator would take no Initiative or target number penalties from damage if both his Physical and Mental Condition Monitor will suffer the full effects of the damage; the nervous system would have the bypass. Physical and mental damage effects are treated separately for the purposes of calculating compensator action. If physical damage exceeds the compensator's level but mental damage remains below the compensator's level, the compensator will continue to block the effects of mental damage, but the character will begin to take the regular Initiative and target number penalties from sustaining physical damage.\n\nThe gamemaster may wish to track the damage taken by a player character with a damage compensator, letting the player know that a hit has occurred, but not the severity. A Perception (6) or Biotech (2) Test could reveal the Damage Level of the hit (Light, Moderate, or Serious.)"
ST-???,"Damage Comp. 6",1.2,600000,2.50,"","The implanted ribbons of transmissive nerve fiber that form the compensator bypass the safety inhibitors that would normally prevent individuals from functioning while injured. Damage compensators allow their host bodies to act while suffering from physical and/or mental trauma. Compensators do not block the actual damage, only the neurological and physiological effects of shock and fatigue on the body. As long as physical or mental damage remain equal to or below the compensator's level, the character will not suffer any of the penalties to target numbers or Initiative that usually accompany damage. For example, a character with a level 3 damage compensator would take no Initiative or target number penalties from damage if both his Physical and Mental Condition Monitor will suffer the full effects of the damage; the nervous system would have the bypass. Physical and mental damage effects are treated separately for the purposes of calculating compensator action. If physical damage exceeds the compensator's level but mental damage remains below the compensator's level, the compensator will continue to block the effects of mental damage, but the character will begin to take the regular Initiative and target number penalties from sustaining physical damage.\n\nThe gamemaster may wish to track the damage taken by a player character with a damage compensator, letting the player know that a hit has occurred, but not the severity. A Perception (6) or Biotech (2) Test could reveal the Damage Level of the hit (Light, Moderate, or Serious.)"
ST-???,"Damage Comp. 7",1.4,700000,2.50,"","The implanted ribbons of transmissive nerve fiber that form the compensator bypass the safety inhibitors that would normally prevent individuals from functioning while injured. Damage compensators allow their host bodies to act while suffering from physical and/or mental trauma. Compensators do not block the actual damage, only the neurological and physiological effects of shock and fatigue on the body. As long as physical or mental damage remain equal to or below the compensator's level, the character will not suffer any of the penalties to target numbers or Initiative that usually accompany damage. For example, a character with a level 3 damage compensator would take no Initiative or target number penalties from damage if both his Physical and Mental Condition Monitor will suffer the full effects of the damage; the nervous system would have the bypass. Physical and mental damage effects are treated separately for the purposes of calculating compensator action. If physical damage exceeds the compensator's level but mental damage remains below the compensator's level, the compensator will continue to block the effects of mental damage, but the character will begin to take the regular Initiative and target number penalties from sustaining physical damage.\n\nThe gamemaster may wish to track the damage taken by a player character with a damage compensator, letting the player know that a hit has occurred, but not the severity. A Perception (6) or Biotech (2) Test could reveal the Damage Level of the hit (Light, Moderate, or Serious.)"
ST-???,"Damage Comp. 8",1.6,800000,2.50,"","The implanted ribbons of transmissive nerve fiber that form the compensator bypass the safety inhibitors that would normally prevent individuals from functioning while injured. Damage compensators allow their host bodies to act while suffering from physical and/or mental trauma. Compensators do not block the actual damage, only the neurological and physiological effects of shock and fatigue on the body. As long as physical or mental damage remain equal to or below the compensator's level, the character will not suffer any of the penalties to target numbers or Initiative that usually accompany damage. For example, a character with a level 3 damage compensator would take no Initiative or target number penalties from damage if both his Physical and Mental Condition Monitor will suffer the full effects of the damage; the nervous system would have the bypass. Physical and mental damage effects are treated separately for the purposes of calculating compensator action. If physical damage exceeds the compensator's level but mental damage remains below the compensator's level, the compensator will continue to block the effects of mental damage, but the character will begin to take the regular Initiative and target number penalties from sustaining physical damage.\n\nThe gamemaster may wish to track the damage taken by a player character with a damage compensator, letting the player know that a hit has occurred, but not the severity. A Perception (6) or Biotech (2) Test could reveal the Damage Level of the hit (Light, Moderate, or Serious.)"
