Book-Page,Name,Essence Cost,Cost,Index,Modifiers,description
SR2-???,Chipjack,0.20,1000,0.90,,
SR2-???,Data Filter,0.30,5000,1.50,,
SR2-???,Data Lock,0.20,1000,1.50,,
SR2-???,Datajack,0.20,1000,0.90,,
SR2-???,Datajack Science,0.35,4500,1.00,,
SR2-???,Datajack Archive,0.80,15000,1.00,,
SR2-???,Datajack Business,0.40,6500,1.00,,
SR2-???,Datasoft Link,0.10,1000,1.00,,
SR2-???,Display Link,0.10,1000,1.00,,
SR2-???,Radio,0.75,4000,0.80,,
SR2-???,Smartcam Link,0.50,2500,1.50,,
SR2-???,Smartlink I,0.50,2500,1.00,,
SR2-???,Telephone,0.50,3700,0.90,,
SR2-???,Radio receiver,0.40,2000,0.80,,
SR2-???,Spurs,0.10,7000,1.00,,
SR2-???,Ear Cyber replac.,0.30,4000,0.75,,
SR2-???,Ear Modification,0.10,2000,1.00,,
SR2-???,Ear Cosmetic mod.,0.00,1000,0.80,,
SR2-???,Ear Damper,0.10,3500,1.25,,
SR2-???,Ear High freq.,0.20,3000,1.25,,
SR2-???,Ear Low freq.,0.20,3000,1.25,,
SR2-???,Ear Recorder,0.30,7000,2.00,,
SR2-???,Eye Cyber replac.,0.20,5000,0.75,,
SR2-???,Eye Camera,0.40,5000,2.00,,
SR2-???,Eye Cosmetic mod.,0.00,1000,0.80,,
SR2-???,Eye Flare comp.,0.10,2000,1.25,,
SR2-???,Eye Low-light,0.20,3000,1.25,,
SR2-???,Eye Retinal dupl.,0.10,50000,2.00,,
SR2-???,Eye Thermographic,0.20,3000,1.25,,
SR2-???,Dermal Plating 1,0.50,6000,1.00,+1BOD,
SR2-???,Dermal Plating 2,1.00,15000,1.00,+2BOD,
SR2-???,Dermal Plating 3,1.50,45000,1.00,+3BOD,
SR2-???,Filter: Air 1,0.10,15000,1.00,,
SR2-???,Filter: Air 2,0.20,30000,1.00,,
SR2-???,Filter: Air 3,0.30,45000,1.00,,
SR2-???,Filter: Air 4,0.40,60000,1.00,,
SR2-???,Filter: Air 5,0.50,75000,1.00,,
SR2-???,Filter: Air 6,0.60,90000,1.00,,
SR2-???,Filter: Air 7,0.70,105000,1.00,,
SR2-???,Filter: Air 8,0.80,120000,1.00,,
SR2-???,Filter: Air 9,0.90,135000,1.00,,
SR2-???,Filter: Air 10,1.00,150000,1.00,,
SR2-???,Filter: Blood 1,0.20,15000,1.00,,
SR2-???,Filter: Blood 2,0.40,30000,1.00,,
SR2-???,Filter: Blood 3,0.60,45000,1.00,,
SR2-???,Filter: Blood 4,0.80,60000,1.00,,
SR2-???,Filter: Blood 5,1.00,75000,1.00,,
SR2-???,Filter: Blood 6,1.20,90000,1.00,,
SR2-???,Filter: Blood 7,1.40,105000,1.00,,
SR2-???,Filter: Blood 8,1.60,120000,1.00,,
SR2-???,Filter: Blood 9,1.80,135000,1.00,,
SR2-???,Filter: Blood 10,2.00,150000,1.00,,
SR2-???,Filter: Toxin 1,0.20,15000,1.00,,
SR2-???,Filter: Toxin 2,0.40,30000,1.00,,
SR2-???,Filter: Toxin 3,0.60,45000,1.00,,
SR2-???,Filter: Toxin 4,0.80,60000,1.00,,
SR2-???,Filter: Toxin 5,1.00,75000,1.00,,
SR2-???,Filter: Toxin 6,1.20,90000,1.00,,
SR2-???,Filter: Toxin 7,1.40,105000,1.00,,
SR2-???,Filter: Toxin 8,1.60,120000,1.00,,
SR2-???,Filter: Toxin 9,1.80,135000,1.00,,
SR2-???,Filter: Toxin 10,2.00,150000,1.00,,
SR2-???,Muscle Replac. 1,1.00,20000,1.00,+1QCK,+1STR,
SR2-???,Muscle Replac. 2,2.00,40000,1.00,+2QCK,+2STR,
SR2-???,Muscle Replac. 3,3.00,60000,1.00,+3QCK,+3STR,
SR2-???,Muscle Replac. 4,4.00,80000,1.00,+4QCK,+4STR,
SR2-???,Skillwires 1,0.10,10000,1.00,,
SR2-???,Skillwires 2,0.20,20000,1.00,,
SR2-???,Skillwires 3,0.30,30000,1.00,,
SR2-???,Skillwires 4,0.40,40000,1.00,,
SR2-???,Skillwires 5,1.00,500000,1.00,,
SR2-???,Skillwires 6,1.20,600000,1.00,,
SR2-???,Skillwires 7,2.10,7000000,1.00,,
SR2-???,Skillwires 8,2.40,8000000,1.00,,
SR2-???,Skillwires 9,2.70,9000000,1.00,,
SR2-???,Siemens Rigit!F1,0.50,25000,1.00,+1INI,
SR2-???,Vehicle Ctrl Rig 1,2.00,12000,1.00,+2RCT,+1INI,
SR2-???,Vehicle Ctrl Rig 2,3.00,60000,1.25,+4RCT,+2INI,
SR2-???,Vehicle Ctrl Rig 3,5.00,300000,1.50,+6RCT,+3INI,
SR2-???,Wired Reflexes 1,2.00,55000,1.00,+2RCT,+1INI,
SR2-???,Wired Reflexes 2,3.00,165000,1.00,+4RCT,+2INI,
SR2-???,Wired Reflexes 3,5.00,500000,1.00,+6RCT,+3INI,
SR2-???,Zeiss Cybereyes 1,0.15,31000,1.00,,
SR2-???,Zeiss Cybereyes 2,0.15,40000,1.00,,
SR2-???,Zeiss Cybereyes 3,0.30,79000,1.00,,
SR2-???,Zeiss Cybereyes 4,0.60,98000,1.00,,
SR2-???,Zeiss Cybereyes 5,1.00,169000,1.00,,
SSC2-???,Boosted Reflexes 1,0.50,15000,1.00,+1INI,
SSC2-???,Boosted Reflexes 2,1.25,40000,1.00,+1RCT,+1INI,
SSC2-???,Boosted Reflexes 3,2.80,90000,1.00,+2RCT,+2INI,
SSC2-???,Commlink 2,0.30,8000,1.00,,
SSC2-???,Commlink 4,0.30,18000,1.25,,
SSC2-???,Commlink 8,0.30,40000,1.50,,
SSC2-???,Commlink 10,0.30,60000,1.75,,
SSC2-???,Crypto Circuit 1,0.10,10000,1.00,,
SSC2-???,Crypto Circuit 2,0.10,20000,1.00,,
SSC2-???,Crypto Circuit 3,0.10,30000,1.00,,
SSC2-???,Crypto Circuit 4,0.10,40000,1.00,,
SSC2-???,Crypto Circuit 5,0.10,100000,1.25,,
SSC2-???,Crypto Circuit 6,0.10,120000,1.25,,
SSC2-???,Crypto Circuit 7,0.10,140000,1.25,,
SSC2-???,Crypto Circuit 8,0.10,240000,1.50,,
SSC2-???,Crypto Circuit 9,0.10,270000,1.50,,
SSC2-???,Crypto Circuit 10,0.10,500000,2.00,,
SSC2-???,Cybergun Hold-Out,0.00,250,2.00,,
SSC2-???,Cybergun Light,0.00,650,2.00,,
SSC2-???,Cybergun Mach. Gun,0.00,900,2.00,,
SSC2-???,Cybergun SMG,0.00,1800,2.00,,
