name,domains,advantages,disadvantages,source
Agwe (Loa),"When mounted, the shaman must splash or immerse themselves in water. Agwe remains only as long as the shaman is wet and may spontaneously mount followers in danger in or on the sea.","+2 dice for illusion spells; +2 dice for banishing water spirits. Increases shaman’s Body and Charisma, Swimming Skill, and all Social skills.","None","p. 122, Awakenings"
Azaca (Loa),"To force the loa to follow their carefully laid plans and strategies, the shaman must make a successful Willpower Test.","+2 dice for health spells; +2 dice for banishing Spirits of the Land. Increases shaman’s Quickness and Body, Stealth Skill, and all skills related to plant life, woodcraft, or agriculture.","None","p. 122, Awakenings"
Bear,Forest,"+2 dice for all health spells; +2 dice for conjuring forest spirits.","If injured, a Bear shaman must make a Willpower Test against an injury-modified Target Number 3. On 2 or fewer successes, the shaman goes berserk. For 3 turns, reduced by the number of successes rolled, the shaman attacks the closest living target using their most powerful physical or magical weapon. The effect ends after 3 turns or if the shaman kills or incapacitates an enemy.","p. 120, Shadowrun, Second Edition"
Boar,"Sacred sites, thick forests of Tír na nÓg","+2 dice for combat spells; +1 service from any spirit summoned for combat purposes.","-2 dice when resisting illusion spells. When territory is invaded, the shaman attacks without warning and refuses to let up, even when outnumbered.","p. 148, Tír na nÓg"
Bull,Countryside of Tír na nÓg,"+2 dice for health spells; +1 die for combat and detection spells.","Shaman must have a Charisma Rating of 4 or greater. Must avenge insults and cannot support causes they know or believe are unjust.","p. 148, Tír na nÓg"
Cat,Urban,"+2 dice for illusion spells; +2 dice for conjuring city spirits.","When not wounded, Cat shamans must make Willpower (6) Tests when casting combat spells. If the test fails, the shaman casts the least damaging of their combat spells. Also, +1 target modifier whenever the shaman is wounded, dirty, or unkempt.","p. 120, Shadowrun, Second Edition"
Coyote,Anywhere on land,"None","None","p. 120, Shadowrun, Second Edition"
Creator,"Small cities or woods","+2 dice for enchantments; +1 die for conjuring hearth and city spirits.","-1 die when casting combat spells. When confronted with an unusual or unique item, the shaman must make a Willpower (4) Test. If the test fails, they immediately move into astral space to examine the object for a number of turns equal to 3 minus the number of successes rolled.","p. 149, Germany Sourcebook"
Damballah Wedo (Loa),"When mounted, the shaman acts like a snake and must make a successful Willpower Test for their speech to be understood.","+2 dice for detection spells; +2 dice for banishing Spirits of the Air. Increases shaman’s Intelligence and all Knowledge skills.","None","p. 122, Awakenings"
Dog,Urban,"+2 dice for detection spells; +2 dice for conjuring field and hearth spirits.","Any time the shaman changes plans, they must spend a Complex Action and make a successful Willpower (4) Test.","p. 120, Shadowrun, Second Edition"
